,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,DTA-mean,DTA-10_moving_average,DTA-se,DTA-upper,DTA-lower,SRS-mean,SRS-10_moving_average,SRS-se,SRS-upper,SRS-lower,NRS-mean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,SARSA-RS-mean,SARSA-RS-se,SARSA-RS-10_moving,SARSA-RS-upper,SARSA-RS-lower,SPRS-mean,SPRS-se,SPRS-10_moving,SPRS-upper,SPRS-lower
38,5035.88,4628.503,426.0982542,5054.601254,4202.404746,2874.66,2759.719,356.8623066,3116.581307,2402.856693,3035.497,3035.8047,112.1648531,3147.969553,2923.639847,4828.078431,4604.99902,413.3002849,5018.299304,4191.698735,3706.35,393.8707979,3995.022,4388.892798,3601.151202,4114.584,257.427012249639,4315.8996,4573.32661224964,4058.47258775036
39,4937.26,4548.845,418.1892681,4967.034268,4130.655732,2483.82,2722.58,328.4434915,3051.023492,2394.136509,2992.348,3039.1136,112.7113436,3151.824944,2926.402256,4536.22549,4541.009804,408.0809504,4949.090754,4132.928854,3743.1,406.1886725,4057.152,4463.340673,3650.963327,4320.28,270.808168987569,4287.5136,4558.32176898757,4016.70543101243
40,4704.16,4504.9,414.8236555,4919.723656,4090.076345,3098.27,2719.992,370.515794,3090.507794,2349.476206,3077.374,3038.1844,112.7472716,3150.931672,2925.437128,4886.843137,4489.332353,413.4742576,4902.806611,4075.858095,3566.03,379.3449748,4110.747,4490.091975,3731.402025,4229.192,266.277181381627,4294.256,4560.53318138163,4027.97881861837
41,4556.97,4515.6,419.4633549,4935.063355,4096.136645,2823.5,2696.021,368.5470444,3064.568044,2327.473956,3139.194,3042.9744,114.7604617,3157.734862,2928.213938,4439.333333,4371.190196,392.9950944,4764.18529,3978.195102,4359.78,408.2592029,4130.233,4538.492203,3721.973797,4402.744,270.656643816212,4292.8284,4563.48504381621,4022.17175618379
42,4652.27,4445.24,427.9363286,4873.176329,4017.303671,2757.8,2718.328,351.8539558,3070.181956,2366.474044,3136.931,3038.5515,113.5805152,3152.132015,2924.970985,4441.578431,4303.003922,394.5386819,4697.542603,3908.46524,4212.67,413.2548771,4105.188,4518.442877,3691.933123,4525.464,262.682557020477,4253.7772,4516.45975702048,3991.09464297952
43,4480.97,4417.874,419.2784026,4837.152403,3998.595597,2738.45,2712.548,361.1472925,3073.695293,2351.400708,2907.715,3022.9474,110.6486813,3133.596081,2912.298719,4945.45098,4286.052941,407.7008249,4693.753766,3878.352116,3843.52,395.9846218,4095.833,4491.817622,3699.848378,4629.216,269.848482533024,4206.0268,4475.87528253302,3936.17831746698
44,4499.28,4399.875,435.4134327,4835.288433,3964.461567,2517.75,2765.071,350.7189685,3115.789969,2414.352032,3012.977,3034.7745,113.2285264,3148.003026,2921.545974,4433.607843,4180.947059,396.7164525,4577.663511,3784.230606,4032.94,404.4048666,4138.239,4542.643867,3733.834133,4392.148,267.175986212055,4163.9148,4431.09078621206,3896.73881378795
45,4323.93,4384.396,430.5277922,4814.923792,3953.868208,2984.17,2779.337,369.2871826,3148.624183,2410.049817,3099.434,3041.7399,114.0130264,3155.752926,2927.726874,4804.666667,4165.12451,400.1220626,4565.246572,3765.002447,4400.96,394.5591857,4209.559,4604.118186,3814.999814,4216.904,266.988302656008,4123.1408,4390.12910265601,3856.15249734399
46,4856.81,4341.625,414.0019888,4755.626989,3927.623011,2839.52,2732.072,354.7192649,3086.791265,2377.352735,3050.428,3033.9812,113.0180632,3146.999263,2920.963137,4471.54902,4081.4,391.4090273,4472.809027,3689.990973,3872.09,400.8162005,4177.323,4578.139201,3776.506799,4221.044,267.523581211556,4087.1304,4354.65398121156,3819.60681878844
47,4237.5,4291.222,405.3653225,4696.587323,3885.856678,2479.25,2741.667,332.3049402,3073.97194,2409.36206,2906.149,3038.7375,108.7402806,3147.477781,2929.997219,4262.656863,4033.427451,406.40356,4439.831011,3627.023891,4212.78,394.447101,4233.889,4628.336101,3839.441899,4107.42,253.28396487421,4095.694,4348.97796487421,3842.41003512579
