DDPG-mean,DDPG-mv,Ddpg-se,DDPG-lower,DDPG-upper,DTA-mean,DTA-mv,DTA-se,DTA-lower,DTA-upper,NRS-mean,NRS-mv,NRS-se,NRS-lower,NRS-upper,SRS-mean,SRS-mv,SRS-se,SRS-lower,SRS-upper
0.46,0.476,0.045607017,0.430392983,0.521607017,0.48,0.492,0.052153619,0.439846381,0.544153619,0.28,0.292,0.076941536,0.215058464,0.368941536,0.56,0.565,0.075099933,0.489900067,0.640099933
0.5,0.482,0.048989795,0.433010205,0.530989795,0.46,0.492,0.082945765,0.409054235,0.574945765,0.28,0.292,0.076941536,0.215058464,0.368941536,0.54,0.567,0.077717437,0.489282563,0.644717437
0.5,0.482,0.048989795,0.433010205,0.530989795,0.5,0.496,0.048989795,0.447010205,0.544989795,0.28,0.298,0.076941536,0.221058464,0.374941536,0.56,0.573,0.073756356,0.499243644,0.646756356
0.5,0.482,0.056568542,0.425431458,0.538568542,0.5,0.5,0.069282032,0.430717968,0.569282032,0.24,0.302,0.082945765,0.219054235,0.384945765,0.59,0.576,0.062369865,0.513630135,0.638369865
0.48,0.482,0.059329588,0.422670412,0.541329588,0.46,0.506,0.077974355,0.428025645,0.583974355,0.28,0.316,0.076941536,0.239058464,0.392941536,0.57,0.577,0.070781353,0.506218647,0.647781353
0.5,0.486,0.048989795,0.437010205,0.534989795,0.52,0.518,0.052153619,0.465846381,0.570153619,0.32,0.324,0.059329588,0.264670412,0.383329588,0.53,0.579,0.076223356,0.502776644,0.655223356
0.5,0.486,0.048989795,0.437010205,0.534989795,0.48,0.518,0.071554175,0.446445825,0.589554175,0.3,0.326,0.074833148,0.251166852,0.400833148,0.57,0.586,0.078803553,0.507196447,0.664803553
0.46,0.486,0.072663608,0.413336392,0.558663608,0.5,0.524,0.069282032,0.454717968,0.593282032,0.28,0.33,0.076941536,0.253058464,0.406941536,0.59,0.587,0.074094534,0.512905466,0.661094534
0.42,0.49,0.065726707,0.424273293,0.555726707,0.5,0.524,0.069282032,0.454717968,0.593282032,0.34,0.338,0.082945765,0.255054235,0.420945765,0.57,0.586,0.073552702,0.512447298,0.659552702
0.44,0.502,0.066932802,0.435067198,0.568932802,0.52,0.532,0.076941536,0.455058464,0.608941536,0.32,0.344,0.071554175,0.272445825,0.415554175,0.57,0.588,0.067896981,0.520103019,0.655896981
0.52,0.506,0.043817805,0.462182195,0.549817805,0.48,0.538,0.086717934,0.451282066,0.624717934,0.28,0.348,0.071554175,0.276445825,0.419554175,0.58,0.593,0.07183314,0.52116686,0.66483314
0.5,0.506,0.048989795,0.457010205,0.554989795,0.5,0.548,0.069282032,0.478717968,0.617282032,0.34,0.356,0.066932802,0.289067198,0.422932802,0.6,0.596,0.069282032,0.526717968,0.665282032
0.5,0.51,0.04,0.47,0.55,0.54,0.558,0.053665631,0.504334369,0.611665631,0.32,0.36,0.052153619,0.307846381,0.412153619,0.59,0.596,0.071344236,0.524655764,0.667344236
0.5,0.512,0.048989795,0.463010205,0.560989795,0.56,0.562,0.082945765,0.479054235,0.644945765,0.38,0.366,0.043817805,0.322182195,0.409817805,0.6,0.596,0.069282032,0.526717968,0.665282032
0.52,0.516,0.043817805,0.472182195,0.559817805,0.58,0.562,0.065726707,0.496273293,0.627726707,0.36,0.366,0.053665631,0.312334369,0.419665631,0.59,0.596,0.074094534,0.521905466,0.670094534
0.5,0.52,0.056568542,0.463431458,0.576568542,0.52,0.564,0.052153619,0.511846381,0.616153619,0.34,0.37,0.066932802,0.303067198,0.436932802,0.6,0.601,0.069282032,0.531717968,0.670282032
0.5,0.526,0.048989795,0.477010205,0.574989795,0.54,0.572,0.060663004,0.511336996,0.632663004,0.34,0.374,0.045607017,0.328392983,0.419607017,0.58,0.603,0.075894664,0.527105336,0.678894664
0.5,0.532,0.048989795,0.483010205,0.580989795,0.5,0.574,0.089442719,0.484557281,0.663442719,0.36,0.378,0.053665631,0.324334369,0.431665631,0.58,0.608,0.07183314,0.53616686,0.67983314
0.54,0.538,0.035777088,0.502222912,0.573777088,0.58,0.584,0.091214034,0.492785966,0.675214034,0.4,0.382,0.04,0.342,0.422,0.59,0.613,0.068483575,0.544516425,0.681483575
0.48,0.534,0.059329588,0.474670412,0.593329588,0.58,0.588,0.091214034,0.496785966,0.679214034,0.36,0.38,0.053665631,0.326334369,0.433665631,0.62,0.618,0.067527772,0.550472228,0.685527772
0.52,0.538,0.043817805,0.494182195,0.581817805,0.58,0.592,0.091214034,0.500785966,0.683214034,0.36,0.38,0.035777088,0.344222912,0.415777088,0.61,0.619,0.069928535,0.549071465,0.688928535
0.54,0.542,0.035777088,0.506222912,0.577777088,0.6,0.598,0.074833148,0.523166852,0.672833148,0.38,0.384,0.043817805,0.340182195,0.427817805,0.6,0.62,0.066332496,0.553667504,0.686332496
0.52,0.544,0.043817805,0.500182195,0.587817805,0.58,0.598,0.091214034,0.506785966,0.689214034,0.38,0.382,0.043817805,0.338182195,0.425817805,0.59,0.624,0.068483575,0.555516425,0.692483575
0.54,0.544,0.035777088,0.508222912,0.579777088,0.56,0.602,0.092086915,0.509913085,0.694086915,0.38,0.382,0.043817805,0.338182195,0.425817805,0.6,0.628,0.069282032,0.558717968,0.697282032
0.56,0.548,0.035777088,0.512222912,0.583777088,0.6,0.606,0.074833148,0.531166852,0.680833148,0.4,0.384,0.04,0.344,0.424,0.64,0.633,0.058651513,0.574348487,0.691651513
0.56,0.55,0.035777088,0.514222912,0.585777088,0.6,0.608,0.074833148,0.533166852,0.682833148,0.38,0.384,0.043817805,0.340182195,0.427817805,0.62,0.635,0.057965507,0.577034493,0.692965507
0.56,0.55,0.035777088,0.514222912,0.585777088,0.56,0.61,0.092086915,0.517913085,0.702086915,0.38,0.388,0.052153619,0.335846381,0.440153619,0.63,0.638,0.060083276,0.577916724,0.698083276
0.56,0.554,0.035777088,0.518222912,0.589777088,0.6,0.614,0.074833148,0.539166852,0.688833148,0.4,0.39,0.04,0.35,0.43,0.63,0.641,0.060083276,0.580916724,0.701083276
